dataset,image_path,mask_path,image_id,has_mask
benchmark_train,../../data/5_benchmark/TrainDataset/image/1.png,../../data/5_benchmark/TrainDataset/mask/1.png,1,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/10.png,../../data/5_benchmark/TrainDataset/mask/10.png,10,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/101.png,../../data/5_benchmark/TrainDataset/mask/101.png,101,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/102.png,../../data/5_benchmark/TrainDataset/mask/102.png,102,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/103.png,../../data/5_benchmark/TrainDataset/mask/103.png,103,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/104.png,../../data/5_benchmark/TrainDataset/mask/104.png,104,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/105.png,../../data/5_benchmark/TrainDataset/mask/105.png,105,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/107.png,../../data/5_benchmark/TrainDataset/mask/107.png,107,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/108.png,../../data/5_benchmark/TrainDataset/mask/108.png,108,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/109.png,../../data/5_benchmark/TrainDataset/mask/109.png,109,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/11.png,../../data/5_benchmark/TrainDataset/mask/11.png,11,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/110.png,../../data/5_benchmark/TrainDataset/mask/110.png,110,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/111.png,../../data/5_benchmark/TrainDataset/mask/111.png,111,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/112.png,../../data/5_benchmark/TrainDataset/mask/112.png,112,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/113.png,../../data/5_benchmark/TrainDataset/mask/113.png,113,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/114.png,../../data/5_benchmark/TrainDataset/mask/114.png,114,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/115.png,../../data/5_benchmark/TrainDataset/mask/115.png,115,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/116.png,../../data/5_benchmark/TrainDataset/mask/116.png,116,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/117.png,../../data/5_benchmark/TrainDataset/mask/117.png,117,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/118.png,../../data/5_benchmark/TrainDataset/mask/118.png,118,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/12.png,../../data/5_benchmark/TrainDataset/mask/12.png,12,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/120.png,../../data/5_benchmark/TrainDataset/mask/120.png,120,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/121.png,../../data/5_benchmark/TrainDataset/mask/121.png,121,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/122.png,../../data/5_benchmark/TrainDataset/mask/122.png,122,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/123.png,../../data/5_benchmark/TrainDataset/mask/123.png,123,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/124.png,../../data/5_benchmark/TrainDataset/mask/124.png,124,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/125.png,../../data/5_benchmark/TrainDataset/mask/125.png,125,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/126.png,../../data/5_benchmark/TrainDataset/mask/126.png,126,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/127.png,../../data/5_benchmark/TrainDataset/mask/127.png,127,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/128.png,../../data/5_benchmark/TrainDataset/mask/128.png,128,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/129.png,../../data/5_benchmark/TrainDataset/mask/129.png,129,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/13.png,../../data/5_benchmark/TrainDataset/mask/13.png,13,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/130.png,../../data/5_benchmark/TrainDataset/mask/130.png,130,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/131.png,../../data/5_benchmark/TrainDataset/mask/131.png,131,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/132.png,../../data/5_benchmark/TrainDataset/mask/132.png,132,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/133.png,../../data/5_benchmark/TrainDataset/mask/133.png,133,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/135.png,../../data/5_benchmark/TrainDataset/mask/135.png,135,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/136.png,../../data/5_benchmark/TrainDataset/mask/136.png,136,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/137.png,../../data/5_benchmark/TrainDataset/mask/137.png,137,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/138.png,../../data/5_benchmark/TrainDataset/mask/138.png,138,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/139.png,../../data/5_benchmark/TrainDataset/mask/139.png,139,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/140.png,../../data/5_benchmark/TrainDataset/mask/140.png,140,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/141.png,../../data/5_benchmark/TrainDataset/mask/141.png,141,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/142.png,../../data/5_benchmark/TrainDataset/mask/142.png,142,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/143.png,../../data/5_benchmark/TrainDataset/mask/143.png,143,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/144.png,../../data/5_benchmark/TrainDataset/mask/144.png,144,True
benchmark_train,../../data/5_benchmark/TrainDataset/image/145.png,../../data/5_benchmark/TrainDataset/mask/145.png,145,True
